users,concurrency,complexity,variant_1,variant_2,t_stat,p_value,significant
10000,3,very_complex,neo4j_optimized,postgres_optimized,8.376467486054306,2.7103389951251266e-14,True
10000,3,very_complex,postgres_normal,postgres_optimized,2.920504159389849,0.003792043328356445,True
10000,5,complex,neo4j_normal,neo4j_optimized,0.18018948548018587,0.8571262960276059,False
10000,5,complex,neo4j_normal,postgres_normal,8.867134402708249,1.294911594556902e-15,True
10000,5,complex,neo4j_normal,postgres_optimized,11.159899012522919,1.3902061807334797e-21,True
10000,5,complex,neo4j_optimized,postgres_normal,8.703070781648064,3.449860692849833e-15,True
10000,5,complex,neo4j_optimized,postgres_optimized,11.017764780547829,3.340300676673579e-21,True
10000,5,complex,postgres_normal,postgres_optimized,8.75389931107541,2.8796893817399656e-16,True
10000,5,create,neo4j_normal,neo4j_optimized,-4.860145858488991,1.9033991989360361e-06,True
10000,5,create,neo4j_normal,postgres_normal,-47.23946977998874,2.967983779091158e-126,True
10000,5,create,neo4j_normal,postgres_optimized,-48.28327486339591,3.4813990530953243e-128,True
10000,5,create,neo4j_optimized,postgres_normal,-19.916523941764964,1.7831470452535498e-50,True
10000,5,create,neo4j_optimized,postgres_optimized,-20.460356321070734,4.271569238470357e-52,True
10000,5,create,postgres_normal,postgres_optimized,-2.1272970144594714,0.0340097694800057,True
10000,5,delete,neo4j_normal,neo4j_optimized,-6.3122942937559126,1.100302170820482e-09,True
10000,5,delete,neo4j_normal,postgres_normal,-85.76527228812446,1.5957652958013925e-219,True
10000,5,delete,neo4j_normal,postgres_optimized,-86.10419079984977,2.584276741038877e-222,True
10000,5,delete,neo4j_optimized,postgres_normal,-35.65598125713272,3.2062526262257687e-94,True
10000,5,delete,neo4j_optimized,postgres_optimized,-36.02778031569726,2.293184896942212e-95,True
10000,5,delete,postgres_normal,postgres_optimized,-1.228077781613513,0.22014397206898764,False
10000,5,easy,neo4j_normal,neo4j_optimized,-0.010799969157605463,0.9913902654494386,False
10000,5,easy,neo4j_normal,postgres_normal,5.974108809480874,1.630986310921487e-08,True
10000,5,easy,neo4j_normal,postgres_optimized,5.97500734491759,1.6237328842066916e-08,True
10000,5,easy,neo4j_optimized,postgres_normal,5.970334950472244,1.6617189559230825e-08,True
10000,5,easy,neo4j_optimized,postgres_optimized,5.971230665643802,1.6543547230889426e-08,True
10000,5,easy,postgres_normal,postgres_optimized,0.05716129082308494,0.954455028879733,False
10000,5,medium,neo4j_normal,neo4j_optimized,-0.33089278490518875,0.7409617806691244,False
10000,5,medium,neo4j_normal,postgres_normal,5.499896233649835,1.3350147727317756e-07,True
10000,5,medium,neo4j_normal,postgres_optimized,8.055708363701168,2.3322904700538244e-13,True
10000,5,medium,neo4j_optimized,postgres_normal,5.309585593220198,3.426365742480877e-07,True
10000,5,medium,neo4j_optimized,postgres_optimized,7.52883886291185,4.518818753691737e-12,True
10000,5,medium,postgres_normal,postgres_optimized,7.926636780300705,4.637718131257453e-13,True
10000,5,update,neo4j_normal,neo4j_optimized,-0.10185735581204938,0.9189211955204615,False
10000,5,update,neo4j_normal,postgres_normal,5.636539475709843,5.874389690216273e-08,True
10000,5,update,neo4j_normal,postgres_optimized,5.63136755601148,6.032545707677281e-08,True
10000,5,update,neo4j_optimized,postgres_normal,5.7580183092626855,3.184555389355809e-08,True
10000,5,update,neo4j_optimized,postgres_optimized,5.752882250717867,3.2710667340748885e-08,True
10000,5,update,postgres_normal,postgres_optimized,-0.27220178530302785,0.785664738044073,False
10000,5,very_complex,neo4j_normal,neo4j_optimized,2.0520799925370174,0.04112652932194368,True
10000,5,very_complex,neo4j_normal,postgres_normal,4.579650248330337,9.604460050692127e-06,True
10000,5,very_complex,neo4j_normal,postgres_optimized,5.0283249587501215,1.3318766183019937e-06,True
10000,5,very_complex,neo4j_optimized,postgres_normal,2.878663586129605,0.004553986332122905,True
10000,5,very_complex,neo4j_optimized,postgres_optimized,3.504152582506873,0.0005890551732859015,True
10000,5,very_complex,postgres_normal,postgres_optimized,2.4284846800929816,0.015851974602401772,True
10000,10,complex,neo4j_normal,neo4j_optimized,0.13410182545860216,0.8934126053905195,False
10000,10,complex,neo4j_normal,postgres_normal,8.58310620407114,8.719075052283816e-15,True
10000,10,complex,neo4j_normal,postgres_optimized,10.162662441333843,7.581782650272309e-19,True
10000,10,complex,neo4j_optimized,postgres_normal,8.250235217059156,6.196881832704382e-14,True
10000,10,complex,neo4j_optimized,postgres_optimized,9.799445257154757,6.977633408142299e-18,True
10000,10,complex,postgres_normal,postgres_optimized,8.131216924910207,1.6701127869272738e-14,True
10000,10,create,neo4j_normal,neo4j_optimized,-5.478686387086407,1.0004441670387085e-07,True
10000,10,create,neo4j_normal,postgres_normal,-134.39037556601542,3.25014312674775e-289,True
10000,10,create,neo4j_normal,postgres_optimized,-139.41782667964873,1.3731613690248034e-279,True
10000,10,create,neo4j_optimized,postgres_normal,-56.60065707029549,1.8082327847557597e-134,True
10000,10,create,neo4j_optimized,postgres_optimized,-57.471454256364495,6.992813612120824e-134,True
